Pest,Season/Month,Location/Region,Crop Stage Affected,Trigger Condition,Severity Level,Notes
Fall Armyworm,March–May,Central,Silking,Sowing after extended drought,Low,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Oct–Nov,Eastern,Silking,Night temps > 18°C and green maize,Low,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Feb–April,Western Kenya,Seedling,Dense weedy fields,High,Infestation rises in dry-hot coastal areas
Locust,Sept–Dec,Eastern,Seedling,Unusual wind patterns,Low,Delayed response worsened outbreak
Corn Earworm,Oct–Nov,Western Kenya,Germination,Monocropping with no IPM,Low,"Feeds at night, hides during day"
Fall Armyworm,March–May,Eastern,Vegetative,March–May rains after long dry season,Low,Eggs often missed in early crop stages
Fall Armyworm,Sept–Dec,Eastern,Maturity,March–May rains after long dry season,Low,Infestation reported at 47.3% in 2017 outbreak
Fall Armyworm,March–May,Western Kenya,Vegetative,Presence of alternate hosts,Medium,Eggs often missed in early crop stages
Corn Earworm,Jan–March,Rift Valley,Vegetative,No rotation with legumes or beans,Low,Eggs laid directly on silks
Corn Earworm,Jan–March,Central,Germination,Monocropping with no IPM,Low,Kernel damage often seen late
Fall Armyworm,March–May,Central,Silking,March–May rains after long dry season,Low,Eggs often missed in early crop stages
Corn Earworm,Oct–Nov,Coastal,Maturity,No rotation with legumes or beans,Low,Larvae feed on silks and kernels
Fall Armyworm,Feb–April,Central,Vegetative,Warm temperatures with intermittent rain,Medium,Eggs often missed in early crop stages
Locust,Jan–March,ASAL areas,Silking,Breeding triggered by cyclone rains in Somalia,High,Delayed response worsened outbreak
Fall Armyworm,Jan–March,Western Kenya,Maturity,Dry spells followed by rainfall,Low,Eggs often missed in early crop stages
Fall Armyworm,Sept–Dec,Central,Germination,Presence of alternate hosts,Medium,Rapid larval spread in vegetative phase
Corn Earworm,March–May,Coastal,Tasseling,Dense weedy fields,High,Kernel damage often seen late
Fall Armyworm,Jan–March,ASAL areas,Seedling,Presence of alternate hosts,Medium,Eggs often missed in early crop stages
Fall Armyworm,Oct–Nov,Central,Grain filling,Night temps > 18°C and green maize,Low,Infestation reported at 47.3% in 2017 outbreak
Corn Earworm,Sept–Dec,Rift Valley,Grain filling,Delayed planting,High,Eggs laid directly on silks
Fall Armyworm,Oct–Nov,Nyanza,Tasseling,March–May rains after long dry season,Low,Losses exceeded 40% in some regions
Corn Earworm,Jan–March,ASAL areas,Tasseling,Delayed planting,High,Pesticide resistance risk
Corn Earworm,Feb–April,Western Kenya,Vegetative,Warm dry spells after rains,Medium,Outbreaks in Kilifi linked to continuous cropping
Fall Armyworm,Feb–April,Eastern,Vegetative,Warm temperatures with intermittent rain,Medium,Larvae bore into whorl and damage leaves
Fall Armyworm,Aug–Oct,Nyanza,Silking,Sowing after extended drought,Low,"Preferred cool, cloudy environments in outbreak year"
Locust,Oct–Nov,Eastern,Germination,Rains coincided with hopper development,Low,High impact on both pasture and crops
Fall Armyworm,Aug–Oct,Central,Maturity,Dry spells followed by rainfall,Low,Infestation reported at 47.3% in 2017 outbreak
Corn Earworm,March–May,Coastal,Seedling,Monocropping with no IPM,Low,Outbreaks in Kilifi linked to continuous cropping
Locust,March–May,Coastal,Germination,Breeding triggered by cyclone rains in Somalia,High,Second-gen breeding in Turkana and Marsabit
Locust,Feb–April,Rift Valley,Tasseling,Cross-border swarm movement,Very High,Delayed response worsened outbreak
Locust,Oct–Nov,Nyanza,Germination,Hoppers matured in dry sandy soils,High,Eggs laid in sandy soils
Locust,Jan–March,Nyanza,Germination,Delayed aerial spraying during outbreak,High,Swarms consumed over 100 tons of vegetation per day
Locust,Sept–Dec,Eastern,Tasseling,Cyclones followed by dry winds,High,Isiolo and Garissa hit hardest in 2020
